chemName,chemId,GeneId
Kaempferol,CHEMBL150,HSD17B2
Kaempferol,CHEMBL150,CYP2C9
Kaempferol,CHEMBL150,CA12
Kaempferol,CHEMBL150,CSNK2B
Kaempferol,CHEMBL150,CSNK2A1
Kaempferol,CHEMBL150,CSNK2A2
Kaempferol,CHEMBL150,CSNK2A3
Kaempferol,CHEMBL150,CYP1A2
Kaempferol,CHEMBL150,CISD1
Kaempferol,CHEMBL150,CYP1A1
Kaempferol,CHEMBL150,CYP1B1
Kaempferol,CHEMBL150,TYR
Kaempferol,CHEMBL150,DPP4
Kaempferol,CHEMBL150,EGFR
Kaempferol,CHEMBL150,AHR
Kaempferol,CHEMBL150,PSMB5
Quercetin,CHEMBL50,ALOX12
Quercetin,CHEMBL50,CYP1B1
Quercetin,CHEMBL50,SRC
Quercetin,CHEMBL50,KDR
Quercetin,CHEMBL50,IGF1R
Quercetin,CHEMBL50,AXL
Quercetin,CHEMBL50,CSNK2B
Quercetin,CHEMBL50,CSNK2A1
Quercetin,CHEMBL50,CSNK2A2
Quercetin,CHEMBL50,F2
Quercetin,CHEMBL50,XDH
Quercetin,CHEMBL50,ABCG2
Quercetin,CHEMBL50,AURKB
Quercetin,CHEMBL50,PIM1
Quercetin,CHEMBL50,ALOX5
Quercetin,CHEMBL50,RECQL
Quercetin,CHEMBL50,NPSR1
Quercetin,CHEMBL50,POLB
Quercetin,CHEMBL50,MET
Quercetin,CHEMBL50,AKR1B1
Quercetin,CHEMBL50,YES1
Quercetin,CHEMBL50,ALOX15
Quercetin,CHEMBL50,HSD17B10
Quercetin,CHEMBL50,IP6K2
Quercetin,CHEMBL50,CSNK2A3
Quercetin,CHEMBL50,TP53
Quercetin,CHEMBL50,FLT3
Quercetin,CHEMBL50,PIK3CG
Quercetin,CHEMBL50,CDK1
Quercetin,CHEMBL50,EGFR
Quercetin,CHEMBL50,NOX4
Quercetin,CHEMBL50,CYP1A1
Quercetin,CHEMBL50,CYP19A1
Quercetin,CHEMBL50,PSMB5
Quercetin,CHEMBL50,HCK
Quercetin,CHEMBL50,HIBCH
Quercetin,CHEMBL50,STK17B
Quercetin,CHEMBL50,ESR1
Quercetin,CHEMBL50,ESR2
Quercetin,CHEMBL50,NQO2
Quercetin,CHEMBL50,AHR
Quercetin,CHEMBL50,ACTB
Quercetin,CHEMBL50,EIF3F
Quercetin,CHEMBL50,HSP90AA1
Quercetin,CHEMBL50,HSPA2
Quercetin,CHEMBL50,RUVBL2
Quercetin,CHEMBL50,SF3B3
Quercetin,CHEMBL50,UBA1
Quercetin,CHEMBL50,SHBG
Quercetin,CHEMBL50,CBR1
Quercetin,CHEMBL50,CEBPB
Quercetin,CHEMBL50,NR1I2
Quercetin,CHEMBL50,CYP2C8
Quercetin,CHEMBL50,CYP2C9
Quercetin,CHEMBL50,CYP1A2
Quercetin,CHEMBL50,CYP2E1
Quercetin,CHEMBL50,CYP2C19
Quercetin,CHEMBL50,CYP3A7
Quercetin,CHEMBL50,ALB
Quercetin,CHEMBL50,ABCC1
Quercetin,CHEMBL50,ABCC2
Quercetin,CHEMBL50,SLC16A7
Quercetin,CHEMBL50,SLCO2B1
Quercetin,CHEMBL50,ABCB1
Quercetin,CHEMBL50,SLC16A1
Quercetin,CHEMBL50,SLCO1B1
Pyrogallol,CHEMBL307145,HSD17B10
Pyrogallol,CHEMBL307145,CA2
Pyrogallol,CHEMBL307145,CA6
Pyrogallol,CHEMBL307145,TDP1
Pyrogallol,CHEMBL307145,CA4
Gallic acid,CHEMBL288114,LMNA
Gallic acid,CHEMBL288114,TDP1
Gallic acid,CHEMBL288114,GALNT2
Gallic acid,CHEMBL288114,HSD17B10
Gallic acid,CHEMBL288114,FUT7
Citric acid,CHEMBL1261,IL4I1
Citric acid,CHEMBL1261,CTDSP1
Citric acid,CHEMBL1261,HGS
Citric acid,CHEMBL1261,MDH2
Citric acid,CHEMBL1261,LSM6
Citric acid,CHEMBL1261,PLEKHA1
Citric acid,CHEMBL1261,C8G
Citric acid,CHEMBL1261,APRT
Citric acid,CHEMBL1261,AKR1B1
Citric acid,CHEMBL1261,ITPA
Citric acid,CHEMBL1261,CS
Citric acid,CHEMBL1261,SRC
Citric acid,CHEMBL1261,RNASE1
Citric acid,CHEMBL1261,RNASE3
Citric acid,CHEMBL1261,SLCO2B1
Ascorbic acid,CHEMBL196,ADRA2B
Ascorbic acid,CHEMBL196,PLOD2
Ascorbic acid,CHEMBL196,PHYH
Ascorbic acid,CHEMBL196,PLOD3
Ascorbic acid,CHEMBL196,BBOX1
Ascorbic acid,CHEMBL196,DBH
Ascorbic acid,CHEMBL196,PAM
Ascorbic acid,CHEMBL196,P3H1
Ascorbic acid,CHEMBL196,P3H2
Ascorbic acid,CHEMBL196,P3H3
Ascorbic acid,CHEMBL196,P4HA1
Ascorbic acid,CHEMBL196,OGFOD1
Ascorbic acid,CHEMBL196,OGFOD2
Ascorbic acid,CHEMBL196,ALKBH2
Ascorbic acid,CHEMBL196,ALKBH3
Ascorbic acid,CHEMBL196,KDM5D
Ascorbic acid,CHEMBL196,PLOD1
Ascorbic acid,CHEMBL196,TMLHE
Ascorbic acid,CHEMBL196,P4HTM
Ascorbic acid,CHEMBL196,EGLN1
Ascorbic acid,CHEMBL196,EGLN2
Ascorbic acid,CHEMBL196,EGLN3
Ascorbic acid,CHEMBL196,TXNRD1
Ascorbic acid,CHEMBL196,ALB
Ascorbic acid,CHEMBL196,SLC23A1
Ascorbic acid,CHEMBL196,SLC23A2
Ascorbic acid,CHEMBL196,SLC2A1
Ascorbic acid,CHEMBL196,SLC2A3
Ascorbic acid,CHEMBL196,SLC2A4
Ellagic acid,CHEMBL6246,POLB
Ellagic acid,CHEMBL6246,POLI
Ellagic acid,CHEMBL6246,EGFR
Ellagic acid,CHEMBL6246,HSD17B10
Ellagic acid,CHEMBL6246,CSNK2B
Ellagic acid,CHEMBL6246,CSNK2A1
Ellagic acid,CHEMBL6246,CSNK2A2
Ellagic acid,CHEMBL6246,ELAVL3
Ellagic acid,CHEMBL6246,GALNT2
Ellagic acid,CHEMBL6246,GPR35
Ellagic acid,CHEMBL6246,AKR1B1
Ellagic acid,CHEMBL6246,HSPA1A
Ellagic acid,CHEMBL6246,APEX1
Ellagic acid,CHEMBL6246,TDP1
Ellagic acid,CHEMBL6246,RECQL
Ellagic acid,CHEMBL6246,POLH
Ellagic acid,CHEMBL6246,MET
Ellagic acid,CHEMBL6246,NUAK1
Ellagic acid,CHEMBL6246,IGF1R
Ellagic acid,CHEMBL6246,HPGD
Ellagic acid,CHEMBL6246,SMAD3
Ellagic acid,CHEMBL6246,TEK
Ellagic acid,CHEMBL6246,SRC
Ellagic acid,CHEMBL6246,KDR
Ellagic acid,CHEMBL6246,INSR
Ellagic acid,CHEMBL6246,DUSP3
Ellagic acid,CHEMBL6246,SLC22A6
Ellagic acid,CHEMBL6246,CA1
Ellagic acid,CHEMBL6246,CA2
Ellagic acid,CHEMBL6246,CA3
Ellagic acid,CHEMBL6246,CA4
Ellagic acid,CHEMBL6246,CA5A
Ellagic acid,CHEMBL6246,CA5B
Ellagic acid,CHEMBL6246,CA6
Ellagic acid,CHEMBL6246,CA9
Ellagic acid,CHEMBL6246,CA12
Ellagic acid,CHEMBL6246,CA14
Ellagic acid,CHEMBL6246,PRKACA
Ellagic acid,CHEMBL6246,PRKCA
Ellagic acid,CHEMBL6246,PRKCB
Ellagic acid,CHEMBL6246,SYK
Ellagic acid,CHEMBL6246,SQLE
Ellagic acid,CHEMBL6246,CYP1A1
Ellagic acid,CHEMBL6246,CYP2E1
Ellagic acid,CHEMBL6246,SLC22A11
Corilagin,CHEMBL449392,RAD52
Pedunculagin,CHEMBL506204,F10
