GeneId,hallmark
AAK1,Altered intercellular communications
ABL1,Genomic instability
ADAM17,Altered intercellular communications
ADAMTS14,Extracellular matrix stiffness
AKT1,Altered intercellular communications
AKT1,Cellular senescence
AKT1,Deregulated nutrient signaling
AKT1,Epigenetic shift
AKT1,Extracellular matrix stiffness
AKT1,Genomic instability
AKT1,Impaired proteostasis
AKT1,Inflammation
AKT1,Mitochondrial dysfunction
AKT1,Retrotranspositions
AKT1,Stem cell exhaustion
AKT1,Telomere attrition
AR,Cellular senescence
AR,Inflammation
ARL2,Mitochondrial dysfunction
ATAD3B,Mitochondrial dysfunction
BLK,Deregulated nutrient signaling
BMP2,Stem cell exhaustion
BRCC3,Inflammation
BRCC3,Retrotranspositions
CASP1,Genomic instability
CASP1,Inflammation
CASP3,Extracellular matrix stiffness
CASP3,Genomic instability
CASP3,Inflammation
CASP8,Genomic instability
CASP8,Inflammation
CASP8,Retrotranspositions
CAT,Genomic instability
CD36,Deregulated nutrient signaling
CD36,Inflammation
CDC34,Impaired proteostasis
CHD9,Altered intercellular communications
CHUK,Cellular senescence
CHUK,Extracellular matrix stiffness
CHUK,Genomic instability
CLEC5A,Inflammation
CLEC5A,Retrotranspositions
CNOT6L,Cellular senescence
CNOT6L,Genomic instability
CSNK1A1,Genomic instability
CSNK1A1,Inflammation
CXCL12,Inflammation
CXCL12,Stem cell exhaustion
CXCR4,Inflammation
CXCR4,Retrotranspositions
CXCR4,Stem cell exhaustion
DDX17,Inflammation
DDX17,Retrotranspositions
DDX21,Telomere attrition
DNMT1,Epigenetic shift
DNMT1,Extracellular matrix stiffness
DNMT1,Genomic instability
DNMT1,Inflammation
DNMT1,Retrotranspositions
DNMT1,Stem cell exhaustion
DNMT1,Telomere attrition
DUSP3,Cellular senescence
DUSP3,Genomic instability
EGFR,Cellular senescence
EGFR,Deregulated nutrient signaling
EGFR,Extracellular matrix stiffness
EGFR,Genomic instability
EGFR,Impaired proteostasis
EGFR,Inflammation
EGLN1,Altered intercellular communications
EGLN1,Cellular senescence
EGLN1,Inflammation
EGLN1,Stem cell exhaustion
EP300,Cellular senescence
EP300,Genomic instability
EP300,Epigenetic shift
EP300,Stem cell exhaustion
ESR1,Genomic instability
EZH2,Cellular senescence
EZH2,Epigenetic shift
EZH2,Inflammation
FAM20C,Extracellular matrix stiffness
FGF2,Deregulated nutrient signaling
FGF2,Extracellular matrix stiffness
FGF2,Stem cell exhaustion
FZD8,Altered intercellular communications
GAK,Impaired proteostasis
GAK,Mitochondrial dysfunction
GALNT1,Extracellular matrix stiffness
GSK3B,Altered intercellular communications
GSK3B,Stem cell exhaustion
HCK,Inflammation
HCK,Retrotranspositions
HDAC1,Epigenetic shift
HDAC1,Genomic instability
HDAC6,Cellular senescence
HDAC9,Epigenetic shift
HGF,Altered intercellular communications
HGF,Cellular senescence
HGF,Deregulated nutrient signaling
HGF,Extracellular matrix stiffness
HGF,Genomic instability
HGF,Impaired proteostasis
HGF,Inflammation
HGF,Mitochondrial dysfunction
HGF,Stem cell exhaustion
HSPA5,Impaired proteostasis
HSPA5,Mitochondrial dysfunction
IGF1,Altered intercellular communications
IGF1,Cellular senescence
IGF1,Deregulated nutrient signaling
IGF1,Epigenetic shift
IGF1,Extracellular matrix stiffness
IGF1,Genomic instability
IGF1,Impaired proteostasis
IGF1,Inflammation
IGF1,Mitochondrial dysfunction
IGF1,Retrotranspositions
IGF1,Stem cell exhaustion
IGF1,Telomere attrition
IGF1R,Deregulated nutrient signaling
IGF1R,Genomic instability
IGF1R,Inflammation
IGF1R,Mitochondrial dysfunction
IGF1R,Retrotranspositions
IGF1R,Stem cell exhaustion
IGF2,Deregulated nutrient signaling
IGF2,Stem cell exhaustion
IKBKB,Cellular senescence
IKBKB,Impaired proteostasis
IKBKB,Inflammation
IKBKB,Genomic instability
IKBKB,Stem cell exhaustion
IL1B,Genomic instability
IL1B,Inflammation
IL1B,Mitochondrial dysfunction
IL1B,Retrotranspositions
IL1B,Stem cell exhaustion
IL1B,Telomere attrition
IL6,Altered intercellular communications
IL6,Cellular senescence
IL6,Deregulated nutrient signaling
IL6,Impaired proteostasis
IL6,Inflammation
IL6,Mitochondrial dysfunction
IL6,Stem cell exhaustion
IMPDH2,Altered intercellular communications
IMPDH2,Deregulated nutrient signaling
INSR,Deregulated nutrient signaling
ITGA11,Extracellular matrix stiffness
ITGAM,Inflammation
ITGAV,Altered intercellular communications
ITGAV,Deregulated nutrient signaling
ITGAV,Extracellular matrix stiffness
ITGB2,Mitochondrial dysfunction
ITGB5,Altered intercellular communications
ITGB5,Extracellular matrix stiffness
ITK,Inflammation
JAK1,Inflammation
JAK2,Altered intercellular communications
JAK2,Cellular senescence
JAK2,Genomic instability
JAK2,Inflammation
KAT6A,Cellular senescence
KAT6A,Epigenetic shift
KAT6A,Stem cell exhaustion
KAT8,Epigenetic shift
KDM7A,Altered intercellular communications
KDM7A,Epigenetic shift
KDR,Deregulated nutrient signaling
KDR,Genomic instability
KDR,Inflammation
KIT,Deregulated nutrient signaling
LOX,Extracellular matrix stiffness
LOX,Inflammation
LPIN2,Inflammation
LPIN2,Retrotranspositions
LYN,Inflammation
LYN,Retrotranspositions
MAPK1,Impaired proteostasis
MAPK1,Inflammation
MAPK14,Impaired proteostasis
MAPK14,Stem cell exhaustion
MAPK8,Genomic instability
MIB2,Altered intercellular communications
MMP1,Altered intercellular communications
MMP1,Cellular senescence
MMP1,Extracellular matrix stiffness
MMP2,Extracellular matrix stiffness
MMP2,Inflammation
MMP25,Extracellular matrix stiffness
MMP7,Extracellular matrix stiffness
MMP9,Extracellular matrix stiffness
MMP9,Genomic instability
MTHFD2,Mitochondrial dysfunction
MTMR4,Altered intercellular communications
MTOR,Altered intercellular communications
MTOR,Cellular senescence
MTOR,Deregulated nutrient signaling
MTOR,Epigenetic shift
MTOR,Extracellular matrix stiffness
MTOR,Genomic instability
MTOR,Impaired proteostasis
MTOR,Inflammation
MTOR,Mitochondrial dysfunction
MTOR,Retrotranspositions
MTOR,Stem cell exhaustion
MTOR,Telomere attrition
MYO1C,Epigenetic shift
MYSM1,Cellular senescence
MYSM1,Inflammation
MYSM1,Stem cell exhaustion
NEK7,Inflammation
NEK7,Retrotranspositions
NGF,Deregulated nutrient signaling
NME7,Stem cell exhaustion
NOTCH1,Altered intercellular communications
OLA1,Mitochondrial dysfunction
PARP1,Cellular senescence
PARP1,Genomic instability
PARP1,Telomere attrition
PELI1,Inflammation
PELI1,Retrotranspositions
PIP5K1A,Deregulated nutrient signaling
PJA2,Altered intercellular communications
PLOD1,Extracellular matrix stiffness
PLOD3,Extracellular matrix stiffness
POLA1,Telomere attrition
PPARA,Impaired proteostasis
PPARA,Stem cell exhaustion
PPIL4,Altered intercellular communications
PPM1A,Altered intercellular communications
PPM1A,Inflammation
PRKAG1,Impaired proteostasis
PRKAG1,Mitochondrial dysfunction
PSMD14,Impaired proteostasis
PSMD14,Mitochondrial dysfunction
PTEN,Cellular senescence
PTEN,Deregulated nutrient signaling
PTEN,Genomic instability
PTK2,Cellular senescence
PTK2,Genomic instability
RAB13,Deregulated nutrient signaling
RAB13,Impaired proteostasis
RAB13,Mitochondrial dysfunction
RAB14,Extracellular matrix stiffness
RAB31,Impaired proteostasis
RAB31,Mitochondrial dysfunction
RAB32,Genomic instability
RAB32,Mitochondrial dysfunction
RAB33B,Impaired proteostasis
RAB33B,Mitochondrial dysfunction
RAB4B,Deregulated nutrient signaling
RAB5C,Altered intercellular communications
RAB5C,Stem cell exhaustion
RAB7A,Mitochondrial dysfunction
RAB7B,Impaired proteostasis
RAB7B,Inflammation
RAB7B,Mitochondrial dysfunction
RAB8B,Altered intercellular communications
RAB8B,Impaired proteostasis
RAB8B,Mitochondrial dysfunction
RAP2C,Extracellular matrix stiffness
RHOA,Altered intercellular communications
RHOT1,Mitochondrial dysfunction
RHOT2,Mitochondrial dysfunction
RHOU,Altered intercellular communications
RNF125,Inflammation
RNF125,Retrotranspositions
RNF126,Genomic instability
RNF14,Extracellular matrix stiffness
RNF14,Mitochondrial dysfunction
RNF5,Impaired proteostasis
RNF5,Mitochondrial dysfunction
ROCK1,Cellular senescence
ROCK1,Genomic instability
ROCK1,Stem cell exhaustion
RRAGD,Deregulated nutrient signaling
SETD1B,Stem cell exhaustion
SIRT1,Altered intercellular communications
SIRT1,Cellular senescence
SIRT1,Deregulated nutrient signaling
SIRT1,Epigenetic shift
SIRT1,Extracellular matrix stiffness
SIRT1,Genomic instability
SIRT1,Impaired proteostasis
SIRT1,Inflammation
SIRT1,Mitochondrial dysfunction
SIRT1,Retrotranspositions
SIRT1,Stem cell exhaustion
SIRT1,Telomere attrition
SOD2,Mitochondrial dysfunction
SPP1,Extracellular matrix stiffness
SPP1,Inflammation
SPP1,Stem cell exhaustion
SRC,Cellular senescence
SRC,Mitochondrial dysfunction
TGFB1,Altered intercellular communications
TGFB1,Cellular senescence
TGFB1,Stem cell exhaustion
TGFBR2,Cellular senescence
TGS1,Telomere attrition
TLR2,Impaired proteostasis
TLR2,Inflammation
TLR4,Inflammation
TLR4,Mitochondrial dysfunction
TNF,Altered intercellular communications
TNF,Inflammation
TNF,Telomere attrition
TNIK,Altered intercellular communications
TNIK,Cellular senescence
TNIK,Deregulated nutrient signaling
TNIK,Extracellular matrix stiffness
TNIK,Genomic instability
TNIK,Stem cell exhaustion
TRAF6,Extracellular matrix stiffness
UBE2E3,Cellular senescence
UBE2E3,Impaired proteostasis
UBE2E3,Stem cell exhaustion
UBE2M,Altered intercellular communications
UBE2M,Impaired proteostasis
UBE2O,Genomic instability
UBE2O,Impaired proteostasis
UBE4A,Genomic instability
UBE4A,Impaired proteostasis
UCHL5,Impaired proteostasis
UCHL5,Inflammation
USP2,Altered intercellular communications
USP2,Impaired proteostasis
USP2,Mitochondrial dysfunction
VDR,Impaired proteostasis
VDR,Inflammation
VEGFA,Deregulated nutrient signaling
VEGFA,Inflammation
WWP1,Impaired proteostasis
